kode_bandara,nama_bandara,kategori,lokasi,date_create,date_modified
SQR,Bandar Udara Inco Soroako Waws,Domestik,Sorowako,2021-02-10 22:14:07,2021-02-10 22:14:07
PSJ,Bandar Udara Kasiguncu,Domestik,Poso,2021-02-10 22:14:07,2021-02-10 22:14:07
TLI,Bandar Udara Lalos,Domestik,Tolitoli,2021-02-10 22:14:07,2021-02-10 22:14:07
MJU,Bandar Udara Tampa Padang,Domestik,Mamuju,2021-02-10 22:14:07,2021-02-10 22:14:07
MNA,Bandar Udara Melonguane,Domestik,Melonguane,2021-02-10 22:14:07,2021-02-10 22:14:07
BJG,Bandar Udara Mopait,Domestik,Bolaang Mongondow,2021-02-10 22:14:07,2021-02-10 22:14:07
PLW,Bandar Udara Mutiara,Domestik,Palu,2021-02-10 22:14:07,2021-02-10 22:14:07
NAH,Bandar Udara Naha,Domestik,Tahuna,2021-02-10 22:14:07,2021-02-10 22:14:07
UOL,Bandar Udara Pogugol,Domestik,Buol,2021-02-10 22:14:07,2021-02-10 22:14:07
PUM,Bandar Udara Pomalaa,Domestik,Pomalaa,2021-02-10 22:14:07,2021-02-10 22:14:07
TTR,Bandar Udara Pongtiku,Domestik,Tana Toraja,2021-02-10 22:14:07,2021-02-10 22:14:07
RAQ,Bandar Udara Sugimanuru,Domestik,Raha,2021-02-10 22:14:07,2021-02-10 22:14:07
LUW,Bandar Udara Syukuran Aminuddin Amir,Domestik,Luwuk,2021-02-10 22:14:07,2021-02-10 22:14:07
KDI,Bandar Udara Haluoleo,Domestik,Kendari,2021-02-10 22:14:07,2021-02-10 22:14:07
SLY,Bandar Udara H. Aroeppala,Domestik,Selayar,2021-02-10 22:14:07,2021-02-10 22:14:07
WNI,Bandar Udara Matahora,Domestik,Wangi-wangi,2021-02-10 22:14:07,2021-02-10 22:14:07
TQQ,Bandar Udara Maranggo,Domestik,Pulau Tomia Maluku,2021-02-10 22:14:07,2021-02-10 22:14:07
AHI,Bandar Udara Amahai,Domestik,Masohi,2021-02-10 22:14:07,2021-02-10 22:14:07
NDA,Bandar Udara Bandaneira,Domestik,Banda,2021-02-10 22:14:07,2021-02-10 22:14:07
DOB,Bandar Udara Dobo,Domestik,Kepulauan Aru,2021-02-10 22:14:07,2021-02-10 22:14:07
LUV,Bandar Udara Dumatubun,Domestik,Langgur,2021-02-10 22:14:07,2021-02-10 22:14:07
SQN,Bandar Udara Emalamo,Domestik,Sanana,2021-02-10 22:14:07,2021-02-10 22:14:07
GLX,Bandar Udara Gamarmalamo,Domestik,Galela,2021-02-10 22:14:07,2021-02-10 22:14:07
GEB,Bandar Udara Gebe,Domestik,Gebe,2021-02-10 22:14:07,2021-02-10 22:14:07
KAZ,Bandar Udara Kuabang,Domestik,Tobelo,2021-02-10 22:14:07,2021-02-10 22:14:07
MAL,Bandar Udara Mangole,Domestik,Mangole,2021-02-10 22:14:07,2021-02-10 22:14:07
NAM,Bandar Udara Namlea,Domestik,Namlea,2021-02-10 22:14:07,2021-02-10 22:14:07
NRE,Bandar Udara Namrole,Domestik,Namrole,2021-02-10 22:14:07,2021-02-10 22:14:07
BJK,Bandar Udara Nangasuri,Domestik,Benjina,2021-02-10 22:14:07,2021-02-10 22:14:07
LAH,Bandar Udara Oesman Sadik,Domestik,Labuha,2021-02-10 22:14:07,2021-02-10 22:14:07
SXK,Bandar Udara Olilit,Domestik,Saumlaki,2021-02-10 22:14:07,2021-02-10 22:14:07
OTI,Bandar Udara Pitu,Domestik,Morotai,2021-02-10 22:14:07,2021-02-10 22:14:07
TTE,Bandar Udara Sultan Babullah,Domestik,Ternate,2021-02-10 22:14:07,2021-02-10 22:14:07
TAX,Bandar Udara Taliabu,Domestik,Taliabu,2021-02-10 22:14:07,2021-02-10 22:14:07
WHI,Bandar Udara Wahai,Domestik,Pulau Seram,2021-02-10 22:14:07,2021-02-10 22:14:07
BLI,Bandar Udara Buli,Domestik,Maba Papua,2021-02-10 22:14:07,2021-02-10 22:14:07
RSK,Bandar Udara Abresso,Domestik,Manokwari,2021-02-10 22:14:07,2021-02-10 22:14:07
AGD,Bandar Udara Anggi,Domestik,Anggi,2021-02-10 22:14:07,2021-02-10 22:14:07
AAS,Bandar Udara Apalapsili,Domestik,Jayawijaya,2021-02-10 22:14:07,2021-02-10 22:14:07
ARJ,Bandar Udara Arso,Domestik,Arso,2021-02-10 22:14:07,2021-02-10 22:14:07
AYW,Bandar Udara Ayawasi,Domestik,Sorong,2021-02-10 22:14:07,2021-02-10 22:14:07
BXB,Bandar Udara Babo,Domestik,Babo,2021-02-10 22:14:07,2021-02-10 22:14:07
BXD,Bandar Udara Bade,Domestik,Merauke,2021-02-10 22:14:07,2021-02-10 22:14:07
BXM,Bandar Udara Batom,Domestik,Pegunungan Bintang,2021-02-10 22:14:07,2021-02-10 22:14:07
NTI,Bandar Udara Bintuni,Domestik,Bintuni,2021-02-10 22:14:07,2021-02-10 22:14:07
BUI,Bandar Udara Bokondini,Domestik,Jayawijaya,2021-02-10 22:14:07,2021-02-10 22:14:07
DRH,Bandar Udara Dabra,Domestik,Puncak Jaya,2021-02-10 22:14:07,2021-02-10 22:14:07
ELR,Bandar Udara Elilim,Domestik,Jayawijaya,2021-02-10 22:14:07,2021-02-10 22:14:07
EWI,Bandar Udara Enarotali,Domestik,Enarotali,2021-02-10 22:14:07,2021-02-10 22:14:07
EWE,Bandar Udara Ewer,Domestik,Merauke,2021-02-10 22:14:07,2021-02-10 22:14:07
ILA,Bandar Udara Illaga,Domestik,Paniai,2021-02-10 22:14:07,2021-02-10 22:14:07
IUL,Bandar Udara Ilu,Domestik,Puncak Jaya,2021-02-10 22:14:07,2021-02-10 22:14:07
INX,Bandar Udara Inanwatan,Domestik,Inanwatan,2021-02-10 22:14:07,2021-02-10 22:14:07
SOQ,Bandar Udara Jeffman,Domestik,Sorong,2021-02-10 22:14:07,2021-02-10 22:14:07
FOO,Bandar Udara Yemburwo,Domestik,Numfor Timur,2021-02-10 22:14:07,2021-02-10 22:14:07
KBX,Bandar Udara Kambuaya,Domestik,Sorong Selatan,2021-02-10 22:14:07,2021-02-10 22:14:07
KCD,Bandar Udara Kamur,Domestik,Asmat,2021-02-10 22:14:07,2021-02-10 22:14:07
KBF,Bandar Udara Karubaga,Domestik,Jayawijaya,2021-02-10 22:14:07,2021-02-10 22:14:07
KEQ,Bandar Udara Kebar,Domestik,Manokwari,2021-02-10 22:14:07,2021-02-10 22:14:07
LLN,Bandar Udara Kelila,Domestik,Jayawijaya,2021-02-10 22:14:07,2021-02-10 22:14:07
KEI,Bandar Udara Kepi,Domestik,Merauke,2021-02-10 22:14:07,2021-02-10 22:14:07
KMM,Bandar Udara Kimaan,Domestik,Merauke,2021-02-10 22:14:07,2021-02-10 22:14:07
KOX,Bandar Udara Kokonao,Domestik,Mimika,2021-02-10 22:14:07,2021-02-10 22:14:07
LHI,Bandar Udara Lereh,Domestik,Jayapura,2021-02-10 22:14:07,2021-02-10 22:14:07
ZRM,Bandar Udara Mararena,Domestik,Sarmi,2021-02-10 22:14:07,2021-02-10 22:14:07
RDE,Bandar Udara Merdey,Domestik,Manokwari,2021-02-10 22:14:07,2021-02-10 22:14:07
MDP,Bandar Udara Mindiptana,Domestik,Boven Digoel,2021-02-10 22:14:07,2021-02-10 22:14:07
ONI,Bandar Udara Moanamani,Domestik,Dogiyai,2021-02-10 22:14:07,2021-02-10 22:14:07
LII,Bandar Udara Mulia,Domestik,Puncak Jaya,2021-02-10 22:14:07,2021-02-10 22:14:07
MUF,Bandar Udara Muting,Domestik,Merauke,2021-02-10 22:14:07,2021-02-10 22:14:07
NBX,Bandar Udara Nabire,Domestik,Nabire,2021-02-10 22:14:07,2021-02-10 22:14:07
OBD,Bandar Udara Obano,Domestik,Nabire,2021-02-10 22:14:07,2021-02-10 22:14:07
OKQ,Bandar Udara Okaba,Domestik,Puncak Jaya,2021-02-10 22:14:07,2021-02-10 22:14:07
OKL,Bandar Udara Oksibil,Domestik,Pegunungan Bintang,2021-02-10 22:14:07,2021-02-10 22:14:07
GAV,Bandar Udara Pulau Gag,Domestik,Raja Ampat,2021-02-10 22:14:07,2021-02-10 22:14:07
MKW,Bandar Udara Rendani,Domestik,Manokwari,2021-02-10 22:14:07,2021-02-10 22:14:07
SEH,Bandar Udara Senggeh,Domestik,Keerom,2021-02-10 22:14:07,2021-02-10 22:14:07
ZEG,Bandar Udara Senggo,Domestik,Mappi,2021-02-10 22:14:07,2021-02-10 22:14:07
NKD,Bandar Udara Sinak,Domestik,Puncak Jaya,2021-02-10 22:14:07,2021-02-10 22:14:07
ZRI,Bandar Udara Sudjarwo Tjondronegoro,Domestik,Serui,2021-02-10 22:14:07,2021-02-10 22:14:07
TMH,Bandar Udara Tanah Merah,Domestik,Tanah Merah,2021-02-10 22:14:07,2021-02-10 22:14:07
TXM,Bandar Udara Teminabuan,Domestik,Teminabuan,2021-02-10 22:14:07,2021-02-10 22:14:07
TMY,Bandar Udara Tiom,Domestik,Jayawijaya,2021-02-10 22:14:07,2021-02-10 22:14:07
FKQ,Bandar Udara Torea,Domestik,Fakfak,2021-02-10 22:14:07,2021-02-10 22:14:07
